name,Photo,about,degree,phone,email,address,specialization,yearofexperience,language,rating,clinicname,timings,onlinebooking,consultonline,linktoprofile
Sebastian Melchior,https://img.bookimed.com/doctor/5acf60a3f4122_b.jpeg,Medical Director in the Urology Clinic at Bremen-Mitte. Specializes in robot-assisted surgery. Listed among best German urologists in 2015 according to Focus edition.,MBBS,null,null,null,"Urological surgeon, Urologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/sebastian-melchior/
Jorg Groticke,https://img.bookimed.com/doctor/5acf60dff2bf7_b.jpeg,null,MBBS,null,null,null,Clinical oncologist,null,Doctor speaks German ,null,null,null,null,null,https://en.bookimed.com/doctor/jorg-groticke/
Huseyin Bektas,https://img.bookimed.com/doctor/5e41760beffc4_b.jpeg,null,MBBS,null,null,null,Surgical oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/huseyin-bektas/
Johann Ockenga,https://img.bookimed.com/doctor/5acf60dfbd46a_b.jpeg,null,MBBS,null,null,null,"Surgical oncologist, Gastrointestinal surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/johann-ockenga/
Arne-Joern Lemke,https://img.bookimed.com/doctor/5ad6f32de4f99_b.jpeg,null,MBBS,null,null,null,"Radiation oncologist, Radiologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/arne-joern-lemke/
Thomas W Kraus,https://img.bookimed.com/doctor/5acf60471b075_b.jpeg,null,MBBS,null,null,null,"Surgical oncologist, Gastrointestinal surgeon, Pancreatic surgeon",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/thomas-w-kraus/
Markus Zutt,https://img.bookimed.com/doctor/5acf6081e867e_b.jpeg,null,MBBS,null,null,null,"Dermatologist, Dermatovenereologist, Dermatologic surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/markus-zutt/
Elke Jaeger,https://img.bookimed.com/doctor/5acf607215990_b.jpeg,null,MBBS,null,null,null,"Hematologist, Clinical oncologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/elke-jaeger/
Eduard Becht,https://img.bookimed.com/doctor/5acf60710c462_b.jpeg,null,MBBS,null,null,null,"Oncologist, Urologist, Surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/eduard-becht/
Stefanie Veit,https://img.bookimed.com/doctor/5b51bfec51766_b.jpeg,Heads the minimally invasive technology division of the German Society of Thoracic Surgery.,MBBS,null,null,null,Thoracic surgeon,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/stefanie-veit/
Bernd Hertenstein,https://img.bookimed.com/doctor/5acf60826d21b_b.jpeg,null,MBBS,null,null,null,Clinical oncologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/bernd-hertenstein/
Ralf Buhl,https://img.bookimed.com/doctor/5acf6024f1fc6_b.jpeg,"Dr. Ralf Buhl has provided over 4,000 successful neurosurgeries. Among his patients are famous politicians, businessmen, musicians, actors. In 2015, a Hollywood star George Clooney had severe back pain and was treated by Professor Buhl.",MBBS,null,null,null,"Neurosurgeon, Spine neurosurgeon",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/ralf-buhl/
Boris Pfaffenbach,https://img.bookimed.com/doctor/5acf60222c3a5_b.jpeg,null,MBBS,null,null,null,"Oncologist, Gastroenterologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/boris-pfaffenbach/
Sebastian Hentsch,https://img.bookimed.com/doctor/5acf602331432_b.jpeg,null,MBBS,null,null,null,"Oncologist, Obstetrician-Gynecologist",null,"Doctor speaks Russian, English, German, French ",null,null,null,null,null,https://en.bookimed.com/doctor/sebastian-hentsch/
Friedemann Schad,https://img.bookimed.com/doctor/5acf60e041c61_b.jpeg,null,MBBS,null,null,null,"Oncologist, Therapist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/friedemann-schad/
Uta Meyding-Lamade,https://img.bookimed.com/doctor/5acf607375945_b.jpeg,null,MBBS,null,null,null,Neurologist,null,Doctor speaks German ,null,null,null,null,null,https://en.bookimed.com/doctor/uta-meyding-lamade/
Sasсha Flohé,https://img.bookimed.com/doctor/5acf6022b2e0a_b.jpeg,null,MBBS,null,null,null,Orthopedist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/sasha-floe/
Andreas Gross,https://img.bookimed.com/doctor/5acf60ad612e3_b.jpeg,null,MBBS,null,null,null,"Urological surgeon, Urologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/andreas-gross/
Christian Grah,https://img.bookimed.com/doctor/5acf60e8405c9_b.jpeg,null,MBBS,null,null,null,"Oncologist, Pulmonologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/christian-grah/
Gerhard Hoffman,https://img.bookimed.com/doctor/5acf60227daaf_b.jpeg,null,MBBS,null,null,null,Vascular surgeon,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/gerhard-hoffman/
Bernd Kabelka,https://img.bookimed.com/doctor/5acf60337182d_b.jpeg,null,MBBS,null,null,null,Orthopedist,null,Doctor speaks  German ,null,null,null,null,null,https://en.bookimed.com/doctor/bernd-kabelka/
Henrik Becker,https://img.bookimed.com/doctor/5acf60362a733_b.jpeg,null,MBBS,null,null,null,"Oncologist, Pulmonologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/henrik-becker/
Michael Schenk,https://img.bookimed.com/doctor/5acf60e69a13a_b.jpeg,null,MBBS,null,null,null,Surgeon,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/michael-schenk/
Andreas Sesterhenn,https://img.bookimed.com/doctor/5acf6041b294d_b.jpeg,null,MBBS,null,null,null,"Otorhinolaryngologist, Oncologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/andreas-sesterhenn/
L. Rainer Rupprecht,https://img.bookimed.com/doctor/5acf609816713_b.jpeg,null,MBBS,null,null,null,"Plastic Surgeon, Aesthetic Specialist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/l-rainer-rupprecht/
Uwe Neubauer,https://img.bookimed.com/doctor/5acf6081b5d48_b.jpeg,null,MBBS,null,null,null,"Neurosurgeon, Oncologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/uwe-neubauer/
Michael Unch,https://img.bookimed.com/doctor/5acf603b07015_b.jpeg,null,MBBS,null,null,null,"Oncologist, Obstetrician-Gynecologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/michael-unch/
Axel Stang,https://img.bookimed.com/doctor/5acf60a857c16_b.jpeg,Awarded Innovation in Medicine Asklepios Prize.,MBBS,null,null,null,Hematologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/axel-stang/
Marcus Goyzer,https://img.bookimed.com/doctor/5acf6021d2f7b_b.jpeg,null,MBBS,null,null,null,"Oncologist, Urologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/marcus-goyzer/
Daniel Kendoff,https://img.bookimed.com/doctor/5acf6098be767_b.jpeg,null,MBBS,null,null,null,"Orthopedist, Orthopedic surgeon ",null,Doctor speaks German ,null,null,null,null,null,https://en.bookimed.com/doctor/daniel-kendoff/
Patricia Dé-Malter,https://img.bookimed.com/doctor/5acf60e423c21_b.jpeg,null,MBBS,null,null,null,Surgeon,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/patricia-dé-malter/
Horst Glasner,https://img.bookimed.com/doctor/5acf6068021ea_b.jpeg,null,MBBS,null,null,null,Neurologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/horst-glasner/
Uwe Trefzer,https://img.bookimed.com/doctor/5acf6097b301e_b.jpeg,null,MBBS,null,null,null,"Oncologist, Aesthetic Specialist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/uwe-trefzer/
